negative,topic,hour,tod,region
0,5,16.0,Afternoon,Heilongjiang
0,1,16.0,Afternoon,Sichuan
0,3,16.0,Afternoon,Zhejiang
0,3,16.0,Afternoon,Beijing
0,3,15.0,Afternoon,Liaoning
1,5,15.0,Afternoon,Zhejiang
0,6,15.0,Afternoon,Fujian
0,3,15.0,Afternoon,Guangdong
0,3,15.0,Afternoon,Shanghai
1,3,15.0,Afternoon,United States
0,3,15.0,Afternoon,Guangdong
0,3,14.0,Afternoon,Hunan
0,3,14.0,Afternoon,Hubei
0,4,14.0,Afternoon,Hebei
0,6,14.0,Afternoon,Jiangxi
1,3,14.0,Afternoon,Anhui
0,3,14.0,Afternoon,Shanghai
0,3,14.0,Afternoon,Jilin
0,1,14.0,Afternoon,Henan
1,6,14.0,Afternoon,Guangdong
0,3,14.0,Afternoon,Shandong
0,3,13.0,Afternoon,Sichuan
0,3,13.0,Afternoon,Hebei
0,3,13.0,Afternoon,Shandong
0,3,13.0,Afternoon,Guangdong
0,7,13.0,Afternoon,Guangdong
1,3,13.0,Afternoon,Anhui
0,4,13.0,Afternoon,Henan
0,7,13.0,Afternoon,Beijing
0,3,13.0,Afternoon,Guangdong
0,3,13.0,Afternoon,Guangdong
0,3,13.0,Afternoon,Beijing
0,3,12.0,Afternoon,Jiangsu
0,1,12.0,Afternoon,Beijing
0,3,11.0,Morning,Jiangsu
0,3,11.0,Morning,Inner Mongolia
0,7,11.0,Morning,Guangxi
0,3,11.0,Morning,Liaoning
1,3,11.0,Morning,Beijing
0,3,11.0,Morning,Gansu
1,3,11.0,Morning,Tianjin
0,3,11.0,Morning,Shaanxi
0,2,11.0,Morning,Shanghai
0,3,10.0,Morning,Hunan
0,3,10.0,Morning,Liaoning
0,3,10.0,Morning,Beijing
0,6,10.0,Morning,Tianjin
1,3,10.0,Morning,Zhejiang
0,7,10.0,Morning,Guangdong
0,3,10.0,Morning,Jiangsu
1,6,10.0,Morning,Jiangxi
0,7,10.0,Morning,Inner Mongolia
0,3,10.0,Morning,United Kingdom
0,7,9.0,Morning,Yunnan
0,3,9.0,Morning,Guangdong
0,3,9.0,Morning,Hubei
1,3,9.0,Morning,Guangdong
0,1,9.0,Morning,Hebei
0,3,8.0,Morning,Sichuan
0,1,8.0,Morning,Shandong
0,5,8.0,Morning,Shandong
0,3,8.0,Morning,Jiangsu
0,3,8.0,Morning,Hunan
0,3,7.0,Morning,Hong Kong
1,3,7.0,Morning,Heilongjiang
0,3,7.0,Morning,Jiangsu
0,3,6.0,Morning,Jilin
0,3,6.0,Morning,Jiangxi
0,1,6.0,Morning,Shaanxi
0,3,6.0,Morning,Shaanxi
0,3,5.0,Overnight,Fujian
0,3,5.0,Overnight,Jiangsu
0,3,5.0,Overnight,Shanghai
0,7,4.0,Overnight,Jiangsu
0,3,4.0,Overnight,Jiangsu
0,3,4.0,Overnight,Anhui
0,5,3.0,Overnight,Shandong
0,3,3.0,Overnight,Jiangsu
0,3,2.0,Overnight,Anhui
0,3,2.0,Overnight,Henan
0,3,2.0,Overnight,Tianjin
0,6,2.0,Overnight,Beijing
0,3,2.0,Overnight,United States
0,3,2.0,Overnight,Fujian
